date,temperature,humidity,luminosity
2022-11-10 15:28:39.797,23.4,25.9,106
2022-11-10 15:28:38.524,23.4,25.8,106
2022-11-10 15:28:37.521,23.4,25.8,107
2022-11-10 15:28:36.242,23.4,25.8,107
2022-11-10 15:28:35.242,23.4,25.8,106
2022-11-10 15:28:33.965,23.4,25.6,106
2022-11-10 15:28:32.965,23.4,25.6,106
2022-11-10 15:28:31.687,23.4,25.6,106
2022-11-10 15:28:30.684,23.4,25.6,106
2022-11-10 15:28:29.409,23.4,25.4,106
2022-11-10 15:28:28.406,23.4,25.4,106
2022-11-10 15:28:27.127,23.4,25.4,106
2022-11-10 15:28:26.128,23.4,25.4,101
2022-11-10 15:28:24.850,23.4,25.4,101
2022-11-10 15:28:23.846,23.4,25.4,105
2022-11-10 15:28:22.573,23.4,25.3,105
2022-11-10 15:28:21.569,23.4,25.3,105
2022-11-10 15:28:20.291,23.4,25.3,105
2022-11-10 15:28:19.291,23.4,25.3,105
2022-11-10 15:28:18.013,23.4,25.3,101
2022-11-10 15:28:17.010,23.4,25.3,102
2022-11-10 15:28:15.735,23.4,25.3,107
2022-11-10 15:28:14.732,23.4,25.3,106
2022-11-10 15:28:13.454,23.3,25.3,106
2022-11-10 15:28:12.455,23.3,25.3,106
2022-11-10 15:28:11.176,23.4,25.4,105
2022-11-10 15:28:10.172,23.4,25.4,102
2022-11-10 15:28:08.898,23.4,25.4,103
2022-11-10 15:28:07.895,23.4,25.4,105
2022-11-10 15:28:06.617,23.4,25.5,99
2022-11-10 15:28:05.618,23.4,25.5,95
2022-11-10 15:28:04.340,23.4,25.6,98
2022-11-10 15:28:03.340,23.4,25.6,106
2022-11-10 15:28:02.061,23.4,25.7,104
2022-11-10 15:28:01.059,23.4,25.7,104
2022-11-10 15:27:59.784,23.4,25.8,105
2022-11-10 15:27:58.781,23.4,25.8,107
2022-11-10 15:27:57.503,23.4,25.9,105
2022-11-10 15:27:56.503,23.4,25.9,106
2022-11-10 15:27:55.225,23.4,26.0,106
2022-11-10 15:27:54.222,23.4,26.0,106
2022-11-10 15:27:52.948,23.4,26.0,105
2022-11-10 15:27:51.943,23.4,26.0,106
2022-11-10 15:27:50.666,23.4,26.0,103
2022-11-10 15:27:49.666,23.4,26.0,105
2022-11-10 15:27:48.388,23.4,26.0,105
2022-11-10 15:27:47.389,23.4,26.0,104
2022-11-10 15:27:46.111,23.4,25.9,101
2022-11-10 15:27:45.107,23.4,25.9,105
2022-11-10 15:27:43.833,23.4,25.9,104
2022-11-10 15:27:42.829,23.4,25.9,101
2022-11-10 15:27:41.551,23.4,25.8,103
2022-11-10 15:27:40.551,23.4,25.8,102
2022-11-10 15:27:39.274,23.4,25.8,103
2022-11-10 15:27:38.270,23.4,25.8,103
2022-11-10 15:27:36.996,23.4,25.8,103
2022-11-10 15:27:35.992,23.4,25.8,103
2022-11-10 15:27:34.714,23.4,25.9,104
2022-11-10 15:27:33.715,23.4,25.9,107
2022-11-10 15:27:32.437,23.4,25.9,105
2022-11-10 15:27:31.436,23.4,25.9,106
2022-11-10 15:27:30.159,23.4,25.9,107
2022-11-10 15:27:29.156,23.4,25.9,107
2022-11-10 15:27:27.881,23.4,26.0,106
2022-11-10 15:27:26.878,23.4,26.0,107
2022-11-10 15:27:25.599,23.4,26.0,102
2022-11-10 15:27:24.600,23.4,26.0,106
2022-11-10 15:27:23.322,23.4,26.0,106
2022-11-10 15:27:22.319,23.4,26.0,106
2022-11-10 15:27:21.045,23.4,25.9,106
2022-11-10 15:27:20.040,23.4,25.9,105
2022-11-10 15:27:18.763,23.4,25.9,106
2022-11-10 15:27:17.763,23.4,25.9,107
2022-11-10 15:27:16.485,23.4,25.8,106
2022-11-10 15:27:15.485,23.4,25.8,106
2022-11-10 15:27:14.207,23.4,25.6,107
2022-11-10 15:27:13.203,23.4,25.6,107
2022-11-10 15:27:11.930,23.4,25.6,106
2022-11-10 15:27:10.927,23.4,25.6,106
2022-11-10 15:27:09.648,23.4,25.6,105
2022-11-10 15:27:08.649,23.4,25.6,105
2022-11-10 15:27:07.370,23.4,25.7,105
2022-11-10 15:27:06.367,23.4,25.7,104
2022-11-10 15:27:05.092,23.4,25.7,103
2022-11-10 15:27:04.089,23.4,25.7,104
2022-11-10 15:27:02.815,23.4,25.7,104
2022-11-10 15:27:01.812,23.4,25.7,105
2022-11-10 15:27:00.534,23.4,25.8,107
2022-11-10 15:26:59.533,23.4,25.8,105
2022-11-10 15:26:58.256,23.4,25.8,105
2022-11-10 15:26:57.252,23.4,25.8,105
2022-11-10 15:26:55.979,23.4,25.8,106
2022-11-10 15:26:54.975,23.4,25.8,105
2022-11-10 15:26:53.697,23.4,25.8,106
2022-11-10 15:26:52.698,23.4,25.8,105
2022-11-10 15:26:51.419,23.4,25.8,105
2022-11-10 15:26:50.420,23.4,25.8,104
2022-11-10 15:26:49.141,23.4,25.9,105
2022-11-10 15:26:48.138,23.4,25.9,105
2022-11-10 15:26:46.864,23.4,25.9,104
2022-11-10 15:26:45.859,23.4,25.9,105
2022-11-10 15:26:44.582,23.4,26.0,105
2022-11-10 15:26:43.582,23.4,26.0,105
2022-11-10 15:26:42.304,23.4,26.0,103
2022-11-10 15:26:41.301,23.4,26.0,104
2022-11-10 15:26:40.026,23.4,26.0,105
2022-11-10 15:26:39.023,23.4,26.0,103
2022-11-10 15:26:37.744,23.4,26.0,104
2022-11-10 15:26:36.745,23.4,26.0,105
2022-11-10 15:26:35.468,23.4,26.0,104
2022-11-10 15:26:34.467,23.4,26.0,105
2022-11-10 15:26:33.189,23.4,26.0,105
2022-11-10 15:26:32.187,23.4,26.0,105
2022-11-10 15:26:30.912,23.4,25.9,106
2022-11-10 15:26:29.909,23.4,25.9,103
2022-11-10 15:26:28.630,23.4,25.9,104
2022-11-10 15:26:27.631,23.4,25.9,104
2022-11-10 15:26:26.353,23.4,25.8,103
2022-11-10 15:26:25.349,23.4,25.8,103
2022-11-10 15:26:24.075,23.4,25.8,101
2022-11-10 15:26:23.071,23.4,25.8,101
2022-11-10 15:26:21.794,23.4,25.8,101
2022-11-10 15:26:20.794,23.4,25.8,102
2022-11-10 15:26:19.516,23.4,25.8,104
2022-11-10 15:26:18.517,23.4,25.8,106
2022-11-10 15:26:17.239,23.4,25.8,106
2022-11-10 15:26:16.235,23.4,25.8,105
2022-11-10 15:26:14.961,23.4,25.8,102
2022-11-10 15:26:13.957,23.4,25.8,102
2022-11-10 15:26:12.679,23.4,25.7,101
2022-11-10 15:26:11.679,23.4,25.7,105
2022-11-10 15:26:10.402,23.4,25.8,99
2022-11-10 15:26:09.398,23.4,25.8,91
2022-11-10 15:26:08.124,23.4,25.8,90
2022-11-10 15:26:07.120,23.4,25.8,90
2022-11-10 15:26:05.842,23.4,25.8,91
2022-11-10 15:26:04.842,23.4,25.8,91
2022-11-10 15:26:03.565,23.4,25.8,90
2022-11-10 15:26:02.561,23.4,25.8,90
2022-11-10 15:26:01.287,23.4,25.8,91
2022-11-10 15:26:00.284,23.4,25.8,99
2022-11-10 15:25:59.009,23.4,25.8,103
2022-11-10 15:25:58.006,23.4,25.8,103
2022-11-10 15:25:56.727,23.4,25.8,103
2022-11-10 15:25:55.727,23.4,25.8,91
2022-11-10 15:25:54.450,23.4,25.7,91
2022-11-10 15:25:53.446,23.4,25.7,92
2022-11-10 15:25:52.173,23.4,25.6,92
2022-11-10 15:25:51.169,23.4,25.6,90
2022-11-10 15:25:49.891,23.4,25.6,92
2022-11-10 15:25:48.892,23.4,25.6,101
2022-11-10 15:25:47.614,23.4,25.6,102
2022-11-10 15:25:46.614,23.4,25.6,99
2022-11-10 15:25:45.335,23.4,25.5,96
2022-11-10 15:25:44.331,23.4,25.5,94
2022-11-10 15:25:43.058,23.4,25.5,90
2022-11-10 15:25:42.054,23.4,25.5,90
2022-11-10 15:25:40.776,23.4,25.4,91
2022-11-10 15:25:39.777,23.4,25.4,92
2022-11-10 15:25:38.499,23.4,25.3,90
2022-11-10 15:25:37.494,23.4,25.3,92
2022-11-10 15:25:36.221,23.4,25.3,92
2022-11-10 15:25:35.218,23.4,25.3,98
2022-11-10 15:25:33.943,23.4,25.3,102
2022-11-10 15:25:32.939,23.4,25.3,99
2022-11-10 15:25:31.662,23.4,25.3,97
2022-11-10 15:25:30.658,23.4,25.3,99
2022-11-10 15:25:29.384,23.4,25.3,98
2022-11-10 15:25:28.381,23.4,25.3,97
2022-11-10 15:25:27.102,23.4,25.2,95
2022-11-10 15:25:26.103,23.4,25.2,92
2022-11-10 15:25:24.825,23.4,25.2,98
2022-11-10 15:25:23.826,23.4,25.2,105
2022-11-10 15:25:22.548,23.4,25.2,99
2022-11-10 15:25:21.547,23.4,25.2,100
2022-11-10 15:25:20.270,23.4,25.2,106
2022-11-10 15:25:19.265,23.4,25.2,106
2022-11-10 15:25:17.992,23.4,25.1,103
2022-11-10 15:25:16.989,23.4,25.1,103
2022-11-10 15:25:15.711,23.4,25.1,105
2022-11-10 15:25:14.710,23.4,25.1,104
2022-11-10 15:25:13.432,23.4,25.1,102
2022-11-10 15:25:12.429,23.4,25.1,103
2022-11-10 15:25:11.151,23.4,25.1,92
2022-11-10 15:25:10.151,23.4,25.1,91
2022-11-10 15:25:08.873,23.4,25.1,91
2022-11-10 15:25:07.869,23.4,25.1,92
2022-11-10 15:25:06.596,23.4,25.1,92
2022-11-10 15:25:05.592,23.4,25.1,91
2022-11-10 15:25:04.314,23.4,25.1,92
2022-11-10 15:25:03.315,23.4,25.1,92
2022-11-10 15:25:02.036,23.4,25.0,91
2022-11-10 15:25:01.033,23.4,25.0,91
2022-11-10 15:24:59.759,23.4,25.0,92
2022-11-10 15:24:58.756,23.4,25.0,92
2022-11-10 15:24:57.481,23.4,25.1,91
2022-11-10 15:24:56.478,23.4,25.1,91
2022-11-10 15:24:55.199,23.4,25.1,92
2022-11-10 15:24:54.199,23.4,25.1,92
2022-11-10 15:24:52.921,23.4,25.1,91
2022-11-10 15:24:51.919,23.4,25.1,92
2022-11-10 15:24:50.644,23.4,25.1,92
2022-11-10 15:24:49.640,23.4,25.1,91
2022-11-10 15:24:48.363,23.4,25.2,91
2022-11-10 15:24:47.363,23.4,25.2,92
2022-11-10 15:24:46.085,23.4,25.2,92
2022-11-10 15:24:45.082,23.4,25.2,91
2022-11-10 15:24:43.807,23.4,25.2,91
2022-11-10 15:24:42.804,23.4,25.2,92
2022-11-10 15:24:41.529,23.4,25.3,92
2022-11-10 15:24:40.526,23.4,25.3,91
2022-11-10 15:24:39.248,23.4,25.4,92
2022-11-10 15:24:38.248,23.4,25.4,105
2022-11-10 15:24:36.970,23.4,25.4,105
2022-11-10 15:24:35.971,23.4,25.4,105
2022-11-10 15:24:34.693,23.4,25.5,96
